,index,PNW
232,232,46475.982930422295
233,233,54764.09211001081
234,234,48554.43390814024
235,235,46126.6322590012
236,236,56745.63309238288
237,237,51369.945808120465
238,238,47994.72895345153
239,239,46308.72016757628
240,240,46224.602189172874
241,241,46079.49004339057
242,242,81900.04354071332
243,243,44267.060873146416
244,244,19702.268864824
245,245,0.0
246,246,0.0
247,247,0.0
248,248,0.0
249,249,1760.2877115978918
250,250,0.0
251,251,975.2899509653798
252,252,119.3644538466906
253,253,902.7757332155015
254,254,4182.693749013895
255,255,416.2007592899754
256,256,4920.291706531338
257,257,27836.7578003941
258,258,17099.26839715839
259,259,19109.909663535815
260,260,33905.324820309834
261,261,36772.98020037159
262,262,37516.987572685815
263,263,46703.041534359
264,264,56670.29620057526
265,265,52405.06500079442
266,266,53377.511017906014
267,267,52644.30358050892
268,268,54306.38876936602
269,269,50669.69498981416
270,270,45952.15514121055
271,271,54357.58758139258
272,272,46359.58674142907
273,273,41661.08775931808
274,274,52261.09194751627
275,275,44481.69233708439
276,276,42859.901432422965
277,277,46464.94616382211
278,278,44332.03535714919
279,279,47694.31647527384
280,280,53010.137985976995
281,281,48707.29036396876
282,282,43386.097624152564
283,283,44406.46333810291
284,284,40213.42787619692
285,285,38828.61476346449
286,286,44498.65033709722
287,287,39446.04698656523
288,288,43699.16288653278
289,289,47044.4555474237
290,290,45446.91951254872
291,291,47278.89408441122
292,292,49592.79117409725
293,293,50513.198075403256
294,294,67772.71021168565
295,295,68661.29820809295
296,296,70756.48797372999
297,297,69571.59397755045
298,298,61407.10210573075
299,299,48829.930470217805
300,300,51651.087580109146
301,301,61113.49838033688
302,302,63113.64389449521
303,303,60591.10781517303
304,304,61840.38454934755
305,305,56633.904612329454
306,306,55920.08238083965
307,307,47746.63876739709
308,308,46954.89318277563
309,309,45417.859933919855
310,310,43700.69854733258
311,311,44237.18167672906
312,312,50322.670501196684
313,313,70166.02841415259
314,314,81156.39412781819
315,315,113228.68278365504
316,316,138544.64024237735
317,317,121581.88822982367
318,318,109869.47917166712
319,319,103321.26294325959
320,320,101790.78448860231
321,321,86443.37302940642
322,322,76931.64176945772
323,323,65815.13590442372
324,324,60018.038658227306
325,325,51095.685623244906
326,326,51813.22241119156
327,327,51361.49760303501
328,328,44755.43411519122
329,329,44436.963480182094
330,330,36207.99733640559
331,331,36894.059742174184
332,332,41328.31325486992
333,333,56884.42515765861
334,334,62229.244250440854
335,335,73577.43887867176
336,336,81708.33782105322
337,337,69205.2034197216
338,338,64476.85915429835
339,339,73527.40697385787
340,340,73319.41388234732
341,341,87933.97659642811
342,342,83064.72059071908
343,343,107282.97086340765
344,344,113250.4989503521
345,345,103625.1507203675
346,346,120781.14315873818
347,347,69712.94406891643
348,348,67404.64496167502
349,349,85765.33862755803
350,350,106332.5392729032
